,날짜,doller_index
245,2015년 6월,95.661
246,2015년 7월,97.439
247,2015년 8월,95.854
248,2015년 9월,96.48
249,2015년 10월,97.019
250,2015년 11월,100.21
251,2015년 12월,98.745
252,2016년 1월,99.652
253,2016년 2월,98.219
254,2016년 3월,94.578
255,2016년 4월,93.054
256,2016년 5월,95.878
257,2016년 6월,96.203
258,2016년 7월,95.491
259,2016년 8월,96.012
260,2016년 9월,95.385
261,2016년 10월,98.422
262,2016년 11월,101.539
263,2016년 12월,102.286
264,2017년 1월,99.481
265,2017년 2월,101.129
266,2017년 3월,100.218
267,2017년 4월,98.898
268,2017년 5월,96.854
269,2017년 6월,95.421
270,2017년 7월,92.718
271,2017년 8월,92.628
272,2017년 9월,92.883
273,2017년 10월,94.429
274,2017년 11월,93.002
275,2017년 12월,91.826
276,2018년 1월,88.954
277,2018년 2월,90.551
278,2018년 3월,89.812
279,2018년 4월,91.63
280,2018년 5월,93.959
281,2018년 6월,94.349
282,2018년 7월,94.275
283,2018년 8월,95.083
284,2018년 9월,94.737
285,2018년 10월,96.901
286,2018년 11월,97.196
287,2018년 12월,95.735
288,2019년 1월,95.304
289,2019년 2월,96.043
290,2019년 3월,96.845
291,2019년 4월,97.201
292,2019년 5월,97.666
293,2019년 6월,95.666
294,2019년 7월,98.258
295,2019년 8월,98.86
296,2019년 9월,99.021
297,2019년 10월,97.154
298,2019년 11월,98.202
299,2019년 12월,96.058
300,2020년 1월,97.213
301,2020년 2월,98.081
302,2020년 3월,99.092
303,2020년 4월,99.028
304,2020년 5월,98.341
305,2020년 6월,97.349
306,2020년 7월,93.321
307,2020년 8월,92.131
308,2020년 9월,93.927
309,2020년 10월,94.042
310,2020년 11월,91.858
311,2020년 12월,89.894
312,2021년 1월,90.569
313,2021년 2월,90.882
314,2021년 3월,93.236
315,2021년 4월,91.27
316,2021년 5월,89.993
317,2021년 6월,92.431
318,2021년 7월,92.188
319,2021년 8월,92.635
320,2021년 9월,94.24
321,2021년 10월,94.121
322,2021년 11월,96.007
323,2021년 12월,95.593
324,2022년 1월,96.537
325,2022년 2월,96.694
326,2022년 3월,98.36
327,2022년 4월,102.963
328,2022년 5월,101.766
329,2022년 6월,104.464
330,2022년 7월,105.779
331,2022년 8월,108.665
332,2022년 9월,113.375
