,﻿월,유종,Dubai,Oman,Brent,WTI
218,03월,,104.36,104.35,107.75,100.51
219,04월,,104.63,104.93,108.09,102.03
220,05월,,105.62,105.81,109.24,101.79
221,06월,,107.93,108.07,111.97,105.15
222,07월,,106.13,106.31,108.19,102.39
223,08월,,101.94,101.99,103.40,96.08
224,09월,,96.64,94.73,98.57,93.03
225,10월,,86.82,86.83,88.05,84.34
226,11월,,77.09,77.88,79.63,75.81
227,12월,,60.23,61.41,63.27,59.29
228,15년 01월,,45.77,46.39,49.76,47.33
229,02월,,55.69,56.81,58.80,50.72
230,03월,,54.69,55.55,56.94,47.85
231,04월,,57.72,58.27,61.14,54.63
232,05월,,63.02,63.19,65.61,59.37
233,06월,,60.84,61.06,63.75,59.83
234,07월,,55.61,55.81,56.76,50.93
235,08월,,47.76,47.82,48.21,42.89
236,09월,,45.77,46.1,48.54,45.47
237,10월,,45.82,46.1,49.29,46.29
238,11월,,41.61,41.82,45.93,42.92
239,12월,,34.92,35.04,38.90,37.33
240,16년 01월,,26.86,27.12,31.93,31.78
241,02월,,28.87,29.55,33.53,30.62
242,03월,,35.24,36.4,39.79,37.96
243,04월,,38.99,39.93,43.34,41.12
244,05월,,44.26,44.95,47.65,46.80
245,06월,,46.3,46.67,49.93,48.85
246,07월,,42.53,43.22,46.53,44.80
247,08월,,43.64,44.46,47.16,44.80
248,09월,,43.33,44.05,47.24,45.23
249,10월,,48.97,49.73,51.39,49.94
250,11월,,43.9,44.62,47.08,45.76
251,12월,,52.08,52.9,54.92,52.17
252,17년 01월,,53.71,54.25,55.45,52.61
253,02월,,54.39,54.95,56.00,53.46
254,03월,,51.2,51.77,52.54,49.67
255,04월,,52.3,52.89,53.82,51.12
256,05월,,50.72,50.49,51.39,48.54
257,06월,,46.47,46.83,47.55,45.20
258,07월,,47.57,48.06,49.15,46.67
259,08월,,50.22,50.8,51.87,48.06
260,09월,,53.66,53.65,55.51,49.88
261,10월,,55.54,55.6,57.65,51.59
262,11월,,60.82,60.76,62.87,56.66
263,12월,,61.61,61.68,64.09,57.95
264,18년 01월,,66.2,66.96,69.08,63.66
265,02월,,62.72,63.16,65.73,62.18
266,03월,,62.74,63.24,66.72,62.77
267,04월,,68.27,68.31,71.76,66.33
268,05월,,74.41,74.45,77.01,69.98
269,06월,,73.61,73.65,75.94,67.32
270,07월,,73.12,73.23,74.95,70.58
271,08월,,72.49,72.66,73.84,67.85
272,09월,,77.23,77.84,79.11,70.08
273,10월,,79.39,80.05,80.63,70.76
274,11월,,65.56,65.86,65.95,56.69
275,12월,,57.32,57.57,57.67,48.98
276,19년 01월,,59.09,59.32,60.24,51.55
277,02월,,64.59,64.69,64.43,54.98
278,03월,,66.94,66.97,67.03,58.17
279,04월,,70.94,71.13,71.63,63.87
280,05월,,69.38,69.77,70.30,60.87
281,06월,,61.78,61.82,63.04,54.71
282,07월,,63.28,63.75,64.21,57.55
283,08월,,59.13,59.69,59.50,54.84
284,09월,,61.13,61.67,62.29,56.97
285,10월,,59.39,60.07,59.63,54.01
286,11월,,61.99,62.79,62.71,57.07
287,12월,,64.91,65.38,65.17,59.80
288,20년 01월,,64.32,64.71,63.67,57.53
289,02월,,54.23,54.52,55.48,50.54
290,03월,,33.71,34.02,33.73,30.45
291,04월,,20.39,20.49,26.63,16.70
292,05월,,30.47,30.75,32.41,28.53
293,06월,,40.8,40.85,40.77,38.31
294,07월,,43.3,43.41,43.22,40.77
295,08월,,44.0,44.22,45.02,42.39
296,09월,,41.51,41.58,41.87,39.63
297,10월,,40.67,40.99,41.52,39.55
298,11월,,43.42,43.75,43.98,41.35
299,12월,,49.84,49.99,50.22,47.07
300,21년 01월,,54.82,54.83,55.32,52.10
301,02월,,60.89,60.96,62.28,59.06
302,03월,,64.44,64.49,65.70,62.36
303,04월,,62.92,63.0,65.33,61.70
304,05월,,66.34,66.42,68.31,65.16
305,06월,,71.6,71.72,73.41,71.35
306,07월,,72.93,73.07,74.29,72.43
307,08월,,69.5,69.61,70.51,67.71
308,09월,,72.63,72.74,74.88,71.54
309,10월,,81.61,81.65,83.75,81.22
310,11월,,80.3,80.52,80.85,78.65
311,12월,,73.21,73.23,74.80,71.69
312,22년 01월,,83.47,83.58,85.57,82.98
313,02월,,92.36,92.77,94.10,91.63
314,03월,,110.93,111.07,112.46,108.26
315,04월,,102.82,102.82,105.92,101.64
316,05월,,108.16,108.24,111.96,109.26
317,06월,,113.27,113.31,117.50,114.34
318,07월,,103.14,103.29,105.12,99.38
319,08월,,96.63,97.01,97.74,91.48
320,09월,,91.2,91.27,90.81,84.16
